"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","zfs_jbod_00",,,,"User:","root"
"Cmdline:","dstat -tcmdD total --output dstat_100g_copy_vector_on.output",,,,"Date:","27 Mar 2019 04:14:11 EDT"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",
27-03 04:17:29,0.190,22.314,72.377,4.678,0.0,0.442,6075678720.0,0.0,69168119808.0,587792384.0,20480.0,596557824.0
27-03 04:17:30,0.128,28.416,66.794,4.087,0.0,0.575,7074385920.0,0.0,68355543040.0,401661952.0,0.0,718102528.0
27-03 04:17:31,0.190,27.746,67.429,4.254,0.0,0.381,7357886464.0,0.0,68102033408.0,371671040.0,16384.0,579104768.0
27-03 04:17:32,0.126,13.510,80.745,5.303,0.0,0.316,6857719808.0,0.0,68099313664.0,874557440.0,0.0,439533568.0
27-03 04:17:33,0.190,13.898,80.354,5.243,0.0,0.316,7069028352.0,0.0,68099313664.0,663248896.0,0.0,478150656.0
27-03 04:17:34,0.127,17.141,77.483,4.934,0.0,0.316,6862995456.0,0.0,68433551360.0,535044096.0,28672.0,398929920.0
27-03 04:17:35,0.190,12.010,81.922,5.563,0.0,0.316,6721630208.0,0.0,68781678592.0,328282112.0,0.0,321761280.0
27-03 04:17:36,0.126,9.200,84.814,5.671,0.0,0.189,6828552192.0,0.0,68657123328.0,345915392.0,0.0,306143232.0
27-03 04:17:37,0.188,5.702,88.158,5.827,0.0,0.125,6830415872.0,0.0,68560257024.0,440918016.0,0.0,178520064.0
27-03 04:17:38,0.126,9.830,84.184,5.671,0.0,0.189,6428209152.0,0.0,68782891008.0,620490752.0,16384.0,172793856.0
27-03 04:17:39,0.189,9.016,84.741,5.864,0.0,0.189,6566215680.0,0.0,68945117184.0,320258048.0,0.0,228745216.0
27-03 04:17:40,0.063,5.542,88.413,5.919,0.0,0.063,6641868800.0,0.0,68842962944.0,346759168.0,0.0,185659392.0
27-03 04:17:41,0.063,4.463,89.441,5.971,0.0,0.063,6698827776.0,0.0,68739301376.0,393461760.0,0.0,150614016.0
27-03 04:17:42,0.125,3.262,90.464,6.085,0.0,0.063,6736490496.0,0.0,68684034048.0,411066368.0,0.0,104513536.0
27-03 04:17:43,0.125,1.438,92.245,6.129,0.0,0.063,6754451456.0,0.0,68668342272.0,408797184.0,0.0,47026176.0
27-03 04:17:44,0.125,1.942,91.667,6.203,0.0,0.063,6775930880.0,0.0,68631461888.0,424198144.0,0.0,68327424.0
27-03 04:17:45,0.188,3.074,90.652,6.023,0.0,0.063,6825172992.0,0.0,68586582016.0,419835904.0,0.0,105213952.0
27-03 04:17:46,0.126,3.327,90.395,6.089,0.0,0.063,6871465984.0,0.0,68534255616.0,425869312.0,0.0,112930816.0
27-03 04:17:47,0.125,3.511,90.282,6.019,0.0,0.063,6908579840.0,0.0,68444811264.0,478199808.0,0.0,115527680.0
27-03 04:17:48,0.188,1.317,92.284,6.211,0.0,0.0,6910746624.0,0.0,68436045824.0,484798464.0,0.0,46456832.0
27-03 04:17:49,0.189,13.576,80.264,5.657,0.0,0.314,7185018880.0,0.0,68381360128.0,265211904.0,20480.0,148045824.0
27-03 04:17:50,0.126,5.779,88.756,5.276,0.0,0.063,7566036992.0,0.0,67908878336.0,356675584.0,0.0,95121408.0
27-03 04:17:51,0.126,2.699,91.023,6.089,0.0,0.063,7622041600.0,0.0,67907268608.0,302280704.0,0.0,95653888.0
27-03 04:17:52,0.125,2.753,90.989,6.070,0.0,0.063,7665434624.0,0.0,67842437120.0,323719168.0,0.0,90386432.0
27-03 04:17:53,0.188,3.013,90.647,6.089,0.0,0.063,7721598976.0,0.0,67793416192.0,316575744.0,0.0,99241984.0
27-03 04:17:54,0.126,6.097,87.806,5.783,0.0,0.189,7826935808.0,0.0,67717464064.0,287191040.0,0.0,206888960.0
27-03 04:17:55,0.189,7.260,86.679,5.682,0.0,0.189,7936937984.0,0.0,67548950528.0,345702400.0,0.0,243085312.0
27-03 04:17:56,0.126,16.509,78.765,4.159,0.0,0.441,7697731584.0,0.0,67818029056.0,315830272.0,16384.0,226357248.0
27-03 04:17:57,0.190,10.171,83.891,5.496,0.0,0.253,7834152960.0,0.0,67684888576.0,312549376.0,0.0,269389824.0
27-03 04:17:58,0.126,9.148,84.858,5.615,0.0,0.252,7967432704.0,0.0,67573469184.0,290689024.0,0.0,314093568.0
27-03 04:17:59,0.126,10.354,83.712,5.556,0.0,0.253,8064376832.0,0.0,67451813888.0,315400192.0,0.0,362733568.0
27-03 04:18:00,0.315,10.662,83.218,5.552,0.0,0.252,8200208384.0,0.0,67356045312.0,275337216.0,0.0,365252608.0
27-03 04:18:01,0.190,18.153,77.230,4.175,0.0,0.253,7691620352.0,0.0,67741044736.0,398925824.0,16384.0,336670720.0
27-03 04:18:02,0.189,9.280,84.533,5.808,0.0,0.189,7588069376.0,0.0,67912556544.0,330964992.0,0.0,275517440.0
27-03 04:18:03,0.126,8.129,85.822,5.734,0.0,0.189,7677067264.0,0.0,67785977856.0,368545792.0,0.0,268570624.0
27-03 04:18:04,0.126,7.165,86.675,5.845,0.0,0.189,7751217152.0,0.0,67702407168.0,377966592.0,0.0,242044928.0
27-03 04:18:05,0.126,7.494,86.461,5.793,0.0,0.126,7787778048.0,0.0,67612360704.0,431452160.0,0.0,258695168.0
27-03 04:18:06,0.189,13.060,81.136,5.426,0.0,0.189,7269187584.0,0.0,67755798528.0,806604800.0,24576.0,278274048.0
27-03 04:18:07,0.127,15.873,78.413,5.270,0.0,0.317,7295016960.0,0.0,68231053312.0,305520640.0,0.0,412127232.0
27-03 04:18:08,0.190,19.189,75.364,4.813,0.0,0.443,7486558208.0,0.0,68018626560.0,326406144.0,0.0,656539648.0
27-03 04:18:09,0.191,26.675,68.156,4.467,0.0,0.511,6879072256.0,0.0,68355719168.0,596799488.0,16384.0,676990976.0
27-03 04:18:10,0.127,20.317,73.905,5.143,0.0,0.508,6896558080.0,0.0,68566970368.0,368062464.0,0.0,648855552.0
27-03 04:18:11,0.191,28.117,66.921,4.071,0.0,0.700,6627749888.0,0.0,68786700288.0,417140736.0,159744.0,755306496.0
27-03 04:18:12,0.127,21.053,73.494,4.756,0.0,0.571,6502957056.0,0.0,68878966784.0,449667072.0,0.0,618106880.0
27-03 04:18:13,0.127,24.905,69.759,4.701,0.0,0.508,6133534720.0,0.0,69096095744.0,601960448.0,16384.0,584335360.0
27-03 04:18:14,0.253,19.444,74.684,5.114,0.0,0.505,6479708160.0,0.0,68940279808.0,411602944.0,0.0,656967168.0
27-03 04:18:15,0.254,27.099,67.303,4.707,0.0,0.636,6712078336.0,0.0,68702703616.0,416808960.0,28672.0,701964288.0
27-03 04:18:16,0.252,30.624,64.398,4.285,0.0,0.441,6626660352.0,0.0,68298797056.0,906133504.0,16384.0,632033280.0
27-03 04:18:17,0.191,23.964,71.256,4.079,0.0,0.510,6709919744.0,0.0,68563890176.0,557780992.0,0.0,718102528.0
27-03 04:18:18,0.255,23.008,71.319,4.780,0.0,0.637,7011151872.0,0.0,68372766720.0,447672320.0,0.0,786407424.0
27-03 04:18:19,0.190,26.794,68.063,4.317,0.0,0.635,6439411712.0,0.0,68885737472.0,506441728.0,28672.0,668270592.0
27-03 04:18:20,0.256,31.202,63.363,4.476,0.0,0.703,6175612928.0,0.0,69262172160.0,393805824.0,28672.0,853811200.0
27-03 04:18:21,0.190,21.605,72.647,5.117,0.0,0.442,6232674304.0,0.0,68993417216.0,605499392.0,0.0,599760896.0
27-03 04:18:22,0.189,6.977,86.864,5.720,0.0,0.251,6368718848.0,0.0,68925231104.0,537640960.0,0.0,239718400.0
27-03 04:18:23,0.125,10.846,83.386,5.455,0.0,0.188,6077300736.0,0.0,69142859776.0,611430400.0,16384.0,196792320.0
27-03 04:18:24,0.126,12.508,82.024,5.217,0.0,0.126,6907138048.0,0.0,68543754240.0,380698624.0,0.0,238231552.0
27-03 04:18:25,0.126,8.349,85.562,5.712,0.0,0.251,7042928640.0,0.0,68376784896.0,411877376.0,0.0,267329536.0
27-03 04:18:26,0.127,8.228,85.759,5.696,0.0,0.190,7183183872.0,0.0,68242104320.0,406302720.0,0.0,278065152.0
27-03 04:18:27,0.188,8.794,85.176,5.716,0.0,0.126,7294869504.0,0.0,68114493440.0,422227968.0,0.0,277270528.0
27-03 04:18:28,0.126,11.621,80.465,7.601,0.0,0.188,7097049088.0,0.0,68380463104.0,354078720.0,12288.0,142200832.0
27-03 04:18:29,0.690,9.342,82.320,7.398,0.0,0.251,6987857920.0,0.0,68346134528.0,497598464.0,0.0,216821760.0
27-03 04:18:30,0.126,3.957,89.887,5.967,0.0,0.063,7038754816.0,0.0,68221636608.0,571199488.0,0.0,133218304.0
27-03 04:18:31,0.126,5.303,88.573,5.871,0.0,0.126,7133659136.0,0.0,68199260160.0,498671616.0,0.0,196739072.0
27-03 04:18:32,0.188,5.088,88.631,5.905,0.0,0.188,7218081792.0,0.0,68166541312.0,446967808.0,0.0,178098176.0
27-03 04:18:33,0.126,5.035,88.798,5.979,0.0,0.063,7281385472.0,0.0,68125097984.0,425107456.0,0.0,182116352.0
27-03 04:18:34,0.126,6.352,87.610,5.786,0.0,0.126,7270281216.0,0.0,68078403584.0,482906112.0,4096.0,203137024.0
27-03 04:18:35,0.189,15.617,80.164,3.778,0.0,0.252,6675357696.0,0.0,68559425536.0,596807680.0,20480.0,249516032.0
27-03 04:18:36,0.126,9.269,84.805,5.675,0.0,0.126,6858166272.0,0.0,68559343616.0,414081024.0,0.0,325996544.0
27-03 04:18:37,0.126,4.729,89.029,5.927,0.0,0.189,6947049472.0,0.0,68493692928.0,390848512.0,0.0,171335680.0
27-03 04:18:38,0.189,7.120,86.830,5.734,0.0,0.126,7037399040.0,0.0,68386770944.0,407420928.0,0.0,243576832.0
27-03 04:18:39,0.127,14.168,80.266,5.187,0.0,0.253,6688677888.0,0.0,68337442816.0,805470208.0,16384.0,360861696.0
27-03 04:18:40,0.189,13.997,80.265,5.359,0.0,0.189,7372931072.0,0.0,68023181312.0,435478528.0,0.0,230301696.0
27-03 04:18:41,0.126,7.265,86.797,5.749,0.0,0.063,7464697856.0,0.0,67882442752.0,484450304.0,0.0,257925120.0
27-03 04:18:42,0.126,8.312,85.705,5.730,0.0,0.126,7572840448.0,0.0,67771748352.0,487002112.0,0.0,282349568.0
27-03 04:18:43,0.126,6.187,87.626,5.808,0.0,0.253,7638142976.0,0.0,67692843008.0,500604928.0,0.0,233271296.0
27-03 04:18:44,0.189,16.866,77.344,5.349,0.0,0.252,6805901312.0,0.0,68143915008.0,881774592.0,24576.0,276082688.0
27-03 04:18:45,0.125,5.197,88.729,5.886,0.0,0.063,6875009024.0,0.0,68144574464.0,812007424.0,0.0,162541568.0
27-03 04:18:46,0.189,4.588,89.126,5.971,0.0,0.126,6966927360.0,0.0,68144574464.0,720089088.0,0.0,167325696.0
27-03 04:18:47,0.126,9.470,84.659,5.556,0.0,0.189,7152046080.0,0.0,68144574464.0,534970368.0,0.0,322342912.0
27-03 04:18:48,0.127,10.380,83.544,5.633,0.0,0.316,7334940672.0,0.0,68034457600.0,462192640.0,0.0,366116864.0
27-03 04:18:49,0.127,23.813,70.994,4.623,0.0,0.443,7321468928.0,0.0,68086956032.0,423165952.0,16384.0,606810112.0
27-03 04:18:50,0.191,25.700,69.211,4.453,0.0,0.445,8097427456.0,0.0,67304984576.0,429178880.0,0.0,621039616.0
27-03 04:18:51,0.190,23.466,71.410,4.554,0.0,0.380,8005619712.0,0.0,67343097856.0,482873344.0,16384.0,448933888.0
27-03 04:18:52,0.190,20.860,74.273,4.235,0.0,0.442,8949903360.0,0.0,66548367360.0,333320192.0,0.0,469700608.0
27-03 04:18:53,0.127,20.952,73.333,5.016,0.0,0.571,9670828032.0,0.0,65689518080.0,471244800.0,0.0,550195200.0
27-03 04:18:54,0.190,16.497,77.792,5.140,0.0,0.381,9909653504.0,0.0,65425207296.0,496730112.0,0.0,564068352.0
27-03 04:18:55,0.126,29.040,65.909,4.419,0.0,0.505,9189285888.0,0.0,65813073920.0,829231104.0,40960.0,652296192.0
27-03 04:18:56,0.252,25.362,68.660,4.972,0.0,0.755,9119887360.0,0.0,66298003456.0,413700096.0,0.0,661204992.0
27-03 04:18:57,0.128,21.130,72.897,5.138,0.0,0.706,9146621952.0,0.0,66242555904.0,442413056.0,0.0,746848256.0
27-03 04:18:58,0.191,25.891,68.830,4.517,0.0,0.573,8206708736.0,0.0,66226176000.0,1398706176.0,16384.0,674983936.0
27-03 04:18:59,0.191,25.811,68.277,4.959,0.0,0.763,8507781120.0,0.0,66836025344.0,487784448.0,0.0,753668096.0
27-03 04:19:00,0.318,24.714,69.377,4.956,0.0,0.635,8435937280.0,0.0,66953412608.0,442241024.0,0.0,745598976.0
27-03 04:19:01,0.191,29.670,66.137,3.494,0.0,0.508,7691722752.0,0.0,67068235776.0,1071632384.0,28672.0,793968640.0
27-03 04:19:02,0.192,28.352,66.475,4.342,0.0,0.639,7474896896.0,0.0,67675815936.0,680878080.0,0.0,830369792.0
27-03 04:19:03,0.126,14.719,79.596,5.306,0.0,0.253,7682035712.0,0.0,67603058688.0,546496512.0,0.0,502468608.0
27-03 04:19:04,0.063,14.719,79.722,5.243,0.0,0.253,7160406016.0,0.0,67799097344.0,872087552.0,40960.0,316526592.0
27-03 04:19:05,0.189,10.536,83.344,5.741,0.0,0.189,6979944448.0,0.0,68043087872.0,808558592.0,0.0,262946816.0
27-03 04:19:06,0.126,7.992,85.903,5.727,0.0,0.252,7121219584.0,0.0,68042919936.0,667451392.0,0.0,270491648.0
27-03 04:19:07,0.127,8.196,85.832,5.654,0.0,0.191,7288401920.0,0.0,68042919936.0,500269056.0,0.0,310312960.0
27-03 04:19:08,0.126,6.842,87.006,5.838,0.0,0.188,7382618112.0,0.0,67913568256.0,535404544.0,0.0,223744000.0
27-03 04:19:09,0.126,3.580,90.138,6.030,0.0,0.126,7434444800.0,0.0,67847684096.0,549462016.0,0.0,125419520.0
27-03 04:19:10,0.188,5.273,88.512,5.901,0.0,0.126,7513116672.0,0.0,67755204608.0,563269632.0,0.0,173772800.0
27-03 04:19:11,0.126,14.412,79.962,5.310,0.0,0.190,7464112128.0,0.0,67870986240.0,496492544.0,24576.0,226430976.0
27-03 04:19:12,0.189,11.439,82.338,5.845,0.0,0.189,8280965120.0,0.0,67131260928.0,419364864.0,0.0,180584448.0
27-03 04:19:13,0.125,3.887,89.906,6.019,0.0,0.063,8343134208.0,0.0,67076820992.0,411635712.0,0.0,121974784.0
27-03 04:19:14,0.125,6.524,87.327,5.834,0.0,0.188,8454197248.0,0.0,66943803392.0,433590272.0,0.0,212054016.0
27-03 04:19:15,0.188,5.339,88.442,5.905,0.0,0.126,8532643840.0,0.0,66822606848.0,476340224.0,0.0,175595520.0
27-03 04:19:16,0.189,5.468,88.372,5.845,0.0,0.126,8627744768.0,0.0,66782539776.0,421306368.0,0.0,174956544.0
27-03 04:19:17,0.189,12.020,83.638,4.028,0.0,0.126,7992856576.0,0.0,67141873664.0,696860672.0,12288.0,149905408.0
27-03 04:19:18,0.126,14.637,80.946,3.912,0.0,0.379,8397127680.0,0.0,66991095808.0,443367424.0,0.0,312209408.0
27-03 04:19:19,0.126,8.417,85.490,5.716,0.0,0.251,8531316736.0,0.0,66898821120.0,401453056.0,0.0,276279296.0
27-03 04:19:20,0.126,7.503,86.381,5.738,0.0,0.252,8603992064.0,0.0,66719293440.0,508305408.0,0.0,251846656.0
27-03 04:19:21,0.189,10.761,83.260,5.538,0.0,0.252,8737378304.0,0.0,66547163136.0,547049472.0,0.0,371847168.0
27-03 04:19:22,0.126,9.629,84.456,5.601,0.0,0.189,8830554112.0,0.0,66459037696.0,541999104.0,0.0,329248768.0
27-03 04:19:23,0.126,7.620,86.209,5.793,0.0,0.252,8911794176.0,0.0,66435002368.0,484794368.0,0.0,266588160.0
27-03 04:19:24,0.251,15.892,78.141,5.528,0.0,0.188,8439549952.0,0.0,66999435264.0,392605696.0,40960.0,217649152.0
27-03 04:19:25,0.126,9.647,84.300,5.801,0.0,0.126,8162013184.0,0.0,67073744896.0,595832832.0,0.0,250269696.0
27-03 04:19:26,0.189,6.415,87.296,5.912,0.0,0.189,8279220224.0,0.0,67072507904.0,479862784.0,0.0,221929472.0
27-03 04:19:27,0.126,5.283,88.491,5.975,0.0,0.126,8358879232.0,0.0,67072507904.0,400203776.0,0.0,182722560.0
27-03 04:19:28,0.126,9.051,84.915,5.720,0.0,0.189,8391659520.0,0.0,66947678208.0,492253184.0,0.0,304803840.0
27-03 04:19:29,0.127,11.970,82.077,5.573,0.0,0.253,8517881856.0,0.0,66851594240.0,462114816.0,0.0,410054656.0
27-03 04:19:30,0.190,23.496,71.311,4.433,0.0,0.570,7789490176.0,0.0,67229184000.0,812916736.0,40960.0,505569280.0
27-03 04:19:31,0.190,17.333,76.825,5.270,0.0,0.381,7715082240.0,0.0,67527143424.0,589365248.0,0.0,538488832.0
27-03 04:19:32,0.127,24.316,70.719,4.456,0.0,0.382,7065309184.0,0.0,67525279744.0,1241001984.0,16384.0,654778368.0
27-03 04:19:33,0.190,22.250,72.187,4.994,0.0,0.379,7453782016.0,0.0,67962482688.0,415326208.0,0.0,562753536.0
27-03 04:19:34,0.254,23.335,71.021,4.883,0.0,0.507,8156041216.0,0.0,67253698560.0,421851136.0,0.0,696815616.0
27-03 04:19:35,0.127,26.506,68.167,4.502,0.0,0.698,7831937024.0,0.0,67486392320.0,513261568.0,40960.0,661307392.0
27-03 04:19:36,0.254,24.937,69.353,4.886,0.0,0.571,7940214784.0,0.0,67222712320.0,668663808.0,0.0,661053440.0
27-03 04:19:37,0.127,18.460,75.684,5.156,0.0,0.573,8208850944.0,0.0,67063988224.0,558751744.0,0.0,665104384.0
27-03 04:19:38,0.190,28.010,66.793,4.499,0.0,0.507,7867764736.0,0.0,67545137152.0,418689024.0,28672.0,641507328.0
27-03 04:19:39,0.191,23.126,71.156,5.019,0.0,0.508,7783137280.0,0.0,67484520448.0,563933184.0,0.0,716931072.0
27-03 04:19:40,0.127,25.095,69.645,4.499,0.0,0.634,7210205184.0,0.0,67451363328.0,1170022400.0,16384.0,699035648.0
27-03 04:19:41,0.254,20.698,73.397,5.270,0.0,0.381,7045603328.0,0.0,68116090880.0,669896704.0,0.0,549941248.0
27-03 04:19:42,0.127,22.955,71.592,4.756,0.0,0.571,7313301504.0,0.0,67992866816.0,525422592.0,0.0,799997952.0
27-03 04:19:43,0.191,29.217,65.818,4.265,0.0,0.509,6542823424.0,0.0,68547928064.0,740839424.0,16384.0,741081088.0
27-03 04:19:44,0.127,16.550,77.743,5.263,0.0,0.317,6563631104.0,0.0,68671320064.0,596639744.0,0.0,542906368.0
27-03 04:19:45,0.126,15.829,78.957,4.899,0.0,0.188,6310440960.0,0.0,69132611584.0,388538368.0,28672.0,282796032.0
27-03 04:19:46,0.188,7.852,85.992,5.716,0.0,0.251,6353661952.0,0.0,68950265856.0,527663104.0,0.0,226779136.0
27-03 04:19:47,0.126,10.543,83.775,5.429,0.0,0.126,6510280704.0,0.0,68804157440.0,517152768.0,0.0,347295744.0
27-03 04:19:48,0.189,6.999,86.822,5.738,0.0,0.252,6631821312.0,0.0,68696018944.0,503750656.0,0.0,242618368.0
27-03 04:19:49,0.126,5.779,88.128,5.779,0.0,0.188,6711189504.0,0.0,68683157504.0,437243904.0,0.0,193908736.0
27-03 04:19:50,0.126,11.884,82.301,5.499,0.0,0.190,6211534848.0,0.0,69062070272.0,557985792.0,40960.0,228057088.0
27-03 04:19:51,0.126,6.738,87.154,5.730,0.0,0.252,6154125312.0,0.0,69216649216.0,460816384.0,0.0,197095424.0
27-03 04:19:52,0.188,3.766,89.956,5.964,0.0,0.126,6211739648.0,0.0,69216649216.0,403202048.0,0.0,131698688.0
27-03 04:19:53,0.125,4.391,89.398,5.960,0.0,0.125,6292017152.0,0.0,69216649216.0,322924544.0,0.0,151056384.0
27-03 04:19:54,0.126,5.808,88.068,5.871,0.0,0.126,6369550336.0,0.0,69080580096.0,381460480.0,0.0,200126464.0
27-03 04:19:55,0.188,3.446,89.724,6.516,0.0,0.125,6385270784.0,0.0,69006987264.0,439332864.0,716800.0,108662784.0
27-03 04:19:56,0.189,16.541,77.547,5.472,0.0,0.252,6870986752.0,0.0,68674412544.0,286191616.0,32768.0,216723456.0
27-03 04:19:57,0.126,6.923,87.351,5.475,0.0,0.126,7050055680.0,0.0,68402610176.0,378925056.0,0.0,193970176.0
27-03 04:19:58,0.126,9.343,84.722,5.556,0.0,0.253,7218798592.0,0.0,68162461696.0,450330624.0,0.0,323354624.0
27-03 04:19:59,0.126,5.849,88.050,5.786,0.0,0.189,7328464896.0,0.0,68108562432.0,394563584.0,0.0,204857344.0
27-03 04:20:00,0.316,18.710,75.537,5.183,0.0,0.253,7309647872.0,0.0,68145025024.0,376918016.0,16384.0,324128768.0
27-03 04:20:01,0.505,13.392,80.164,5.559,0.0,0.379,7368654848.0,0.0,67947753472.0,515182592.0,45056.0,384200704.0
27-03 04:20:02,0.126,10.865,83.070,5.622,0.0,0.316,7514054656.0,0.0,67764862976.0,552673280.0,0.0,362328064.0
27-03 04:20:03,0.189,7.044,86.730,5.786,0.0,0.252,7595028480.0,0.0,67661565952.0,574996480.0,0.0,242495488.0
27-03 04:20:04,0.188,11.857,82.434,5.395,0.0,0.125,7064363008.0,0.0,67852111872.0,915116032.0,16384.0,212279296.0
27-03 04:20:05,0.189,12.287,81.727,5.545,0.0,0.252,7089754112.0,0.0,68249280512.0,492556288.0,0.0,302284800.0
27-03 04:20:06,0.189,9.365,84.664,5.531,0.0,0.251,7259475968.0,0.0,68090748928.0,481366016.0,0.0,306556928.0
27-03 04:20:07,0.126,7.552,86.281,5.790,0.0,0.252,7326171136.0,0.0,67969888256.0,535531520.0,0.0,253280256.0
27-03 04:20:08,0.189,6.734,87.036,5.853,0.0,0.189,7450247168.0,0.0,67960860672.0,420483072.0,0.0,240750592.0
27-03 04:20:09,0.190,20.114,74.700,4.617,0.0,0.380,7224668160.0,0.0,68163268608.0,443654144.0,16384.0,481673216.0
27-03 04:20:10,0.126,18.699,75.553,5.180,0.0,0.442,7014141952.0,0.0,68412489728.0,404959232.0,0.0,519553024.0
27-03 04:20:11,0.189,22.727,72.096,4.545,0.0,0.442,6591426560.0,0.0,68371542016.0,868622336.0,28672.0,623710208.0
27-03 04:20:12,0.253,24.241,70.0,4.937,0.0,0.570,6563229696.0,0.0,68717727744.0,550633472.0,0.0,691814400.0
27-03 04:20:13,0.190,22.448,72.289,4.629,0.0,0.444,6298927104.0,0.0,68705263616.0,827400192.0,28672.0,602914816.0
27-03 04:20:14,0.189,24.369,70.139,4.861,0.0,0.442,7349518336.0,0.0,68104929280.0,377143296.0,0.0,555727360.0
27-03 04:20:15,0.380,31.962,63.291,3.797,0.0,0.570,7021817856.0,0.0,67348639744.0,1461133312.0,28672.0,694202368.0
27-03 04:20:16,0.316,21.569,72.929,4.681,0.0,0.506,7756537856.0,0.0,67632160768.0,442892288.0,0.0,561786880.0
27-03 04:20:17,0.191,15.743,78.585,5.035,0.0,0.446,7916654592.0,0.0,67435302912.0,479633408.0,0.0,525451264.0
27-03 04:20:18,0.190,18.095,76.571,4.889,0.0,0.254,7992123392.0,0.0,67318546432.0,520921088.0,0.0,631136256.0
27-03 04:20:19,0.190,26.013,69.114,4.241,0.0,0.443,7600934912.0,0.0,67567034368.0,663621632.0,40960.0,667037696.0
27-03 04:20:20,0.253,27.876,68.078,3.287,0.0,0.506,7218651136.0,0.0,68178223104.0,434716672.0,0.0,758456320.0
27-03 04:20:21,0.127,28.208,66.773,4.384,0.0,0.508,6863998976.0,0.0,68435988480.0,531603456.0,40960.0,733851648.0
27-03 04:20:22,0.127,26.933,67.427,4.816,0.0,0.697,6885707776.0,0.0,68652236800.0,293646336.0,0.0,837181440.0
27-03 04:20:23,0.256,27.685,67.136,4.412,0.0,0.512,6729510912.0,0.0,68630933504.0,471146496.0,40960.0,784678912.0
27-03 04:20:24,0.252,14.754,79.193,5.485,0.0,0.315,6540423168.0,0.0,68809097216.0,482070528.0,0.0,380014592.0
27-03 04:20:25,0.126,9.148,84.858,5.678,0.0,0.189,6686810112.0,0.0,68692656128.0,452124672.0,0.0,324132864.0
27-03 04:20:26,0.252,15.700,78.941,4.792,0.0,0.315,6239211520.0,0.0,68956426240.0,635953152.0,16384.0,330076160.0
27-03 04:20:27,0.189,11.447,83.270,4.843,0.0,0.252,6322946048.0,0.0,68986122240.0,522522624.0,0.0,354807808.0
27-03 04:20:28,0.190,9.494,84.430,5.633,0.0,0.253,6508986368.0,0.0,68870901760.0,451702784.0,0.0,338800640.0
27-03 04:20:29,0.189,6.439,87.374,5.871,0.0,0.126,6623420416.0,0.0,68785659904.0,422510592.0,0.0,235917312.0
27-03 04:20:30,0.189,14.861,79.282,5.290,0.0,0.378,6610935808.0,0.0,68915593216.0,305061888.0,20480.0,300134400.0
27-03 04:20:31,0.189,13.287,81.234,5.164,0.0,0.126,7441223680.0,0.0,67901710336.0,488656896.0,0.0,238972928.0
27-03 04:20:32,0.189,7.057,86.767,5.797,0.0,0.189,7575818240.0,0.0,67818508288.0,437264384.0,0.0,246652928.0
27-03 04:20:33,0.126,7.982,85.858,5.783,0.0,0.251,7661727744.0,0.0,67741163520.0,428699648.0,0.0,272068608.0
27-03 04:20:34,0.253,13.834,80.417,5.306,0.0,0.190,7316373504.0,0.0,68239925248.0,275292160.0,40960.0,185335808.0
27-03 04:20:35,0.126,9.418,84.766,5.499,0.0,0.190,7394816000.0,0.0,68152274944.0,284499968.0,0.0,307326976.0
27-03 04:20:36,0.189,7.134,86.869,5.619,0.0,0.189,7485251584.0,0.0,68024868864.0,321470464.0,0.0,251088896.0
27-03 04:20:37,0.189,13.917,80.353,5.164,0.0,0.378,7673413632.0,0.0,67761700864.0,396476416.0,0.0,468754432.0
27-03 04:20:38,0.189,9.899,84.048,5.485,0.0,0.378,7801081856.0,0.0,67596967936.0,433541120.0,0.0,351227904.0
27-03 04:20:39,0.189,17.287,77.098,5.174,0.0,0.252,7687380992.0,0.0,67752583168.0,391626752.0,40960.0,329424896.0
27-03 04:20:40,0.189,15.186,79.080,5.356,0.0,0.189,8594083840.0,0.0,66865655808.0,371851264.0,0.0,230379520.0
27-03 04:20:41,0.190,6.191,87.618,5.875,0.0,0.126,8696213504.0,0.0,66728435712.0,406941696.0,0.0,215425024.0
27-03 04:20:42,0.126,3.967,89.861,5.982,0.0,0.063,8769363968.0,0.0,66671841280.0,390385664.0,0.0,137076736.0
27-03 04:20:43,0.189,6.990,86.839,5.793,0.0,0.189,8845619200.0,0.0,66574864384.0,411107328.0,0.0,241201152.0
27-03 04:20:44,0.189,13.826,80.745,4.987,0.0,0.253,8004886528.0,0.0,66781671424.0,1045032960.0,16384.0,231755776.0
27-03 04:20:45,0.189,14.141,79.672,5.745,0.0,0.253,8316915712.0,0.0,67197878272.0,316796928.0,0.0,284475392.0
27-03 04:20:46,0.191,15.756,78.272,5.337,0.0,0.445,8532574208.0,0.0,66939060224.0,359956480.0,0.0,533348352.0
27-03 04:20:47,0.190,20.849,73.447,5.006,0.0,0.507,8761200640.0,0.0,66647719936.0,422670336.0,0.0,697466880.0
27-03 04:20:48,0.190,24.096,70.640,4.566,0.0,0.507,8191836160.0,0.0,66595586048.0,1044168704.0,20480.0,647610368.0
27-03 04:20:49,0.254,21.306,73.938,4.122,0.0,0.380,7629721600.0,0.0,67258392576.0,943476736.0,0.0,534716416.0
27-03 04:20:50,0.189,15.215,78.914,5.366,0.0,0.316,7741779968.0,0.0,67289800704.0,800010240.0,0.0,525856768.0
